ZZ 2e 2jet Invariant masses (eV),Leptoquark electron Invariant masses (eV)
349.8398759,1759.306686
950.6122733,211.3437576
6.779346797,2144.473621
367.5346961,3650.48507
327.0624287,643.5358631
302.1264911,1309.524064
1776.186686,2370.519013
730.5770299,1554.019661
571.3007703,2649.008434
584.5923297,1473.703787
572.1991432,6895.45726
213.1522705,1810.601835
1036.347726,2156.337287
1923.351275,2697.741405
1211.779409,3276.453215
1069.866252,6346.908906
253.7581904,3415.026715
447.1136832,1368.347596
247.0275233,2755.862775
2096.122692,361.1127356
791.2482985,5669.225404
1685.188349,1560.423195
647.3582045,1189.630981
170.7556453,2064.404636
597.3909767,1768.166405
544.963555,3451.112908
1601.085732,2950.275248
634.8000637,1517.045539
503.7738124,2470.090867
959.6424497,1283.608788
780.2562852,2725.959049
235.2792982,2192.866751
1579.230309,293.6704701
714.5331718,985.2337636
13.95032814,8243.846583
28.930024,1577.966961
1162.176699,2547.338791
135.5008831,2611.066767
162.3450056,3432.182665
231.8514289,2817.890038
402.8552431,1401.409046
469.538611,7516.279134
117.0434647,1451.55205
797.8735208,1840.317683
1506.217313,1268.738961
635.5521686,5694.789178
777.7525359,2098.664713
295.0420595,982.6543593
153.3093509,1635.65084
166.2435204,2018.40264
1435.483087,1497.092143
131.0866751,1571.916069
403.7805944,4743.991206
2492.25453,1876.954512
554.1430124,1853.4782
815.6624295,1119.326266
1137.802147,6484.984933
564.8117731,3102.575373
489.6999185,1778.369996
606.1780732,5467.009704
267.1074703,4371.82661
962.7755377,846.7913723
407.5586051,1907.9339
238.7586897,352.7723065
408.6924271,4372.610069
1559.266486,2480.742957
1571.48251,2656.740169
838.6687305,1422.579059
1019.369756,2857.517818
2276.974099,1341.162467
370.7217349,2486.464577
144.8410316,276.1254021
1104.010727,4502.139942
8032.90223,3881.747127
456.0883485,778.7458781
145.5935203,2061.558181
1007.437172,1323.080432
1693.838107,1521.781419
519.0141447,4331.272463
519.6996692,550.4767789
2347.747938,1536.372269
802.6943939,2175.225712
1387.07355,2363.555605
443.1451395,1078.433689
2753.977128,1757.752914
73.93489557,1880.428345
655.1049704,1276.567925
3492.405435,957.0352209
748.4563364,11485.92292
871.9416841,3108.301262
248.4586575,7465.252135
715.1658306,4618.234934
273.5013896,2707.936455
969.2200789,3356.774688
215.8118486,6177.388124
1006.441125,4672.603538
1110.002347,2560.603972
321.0404198,642.495164
654.2284892,5277.268432
1707.810119,959.6974974
7179.304298,414.9100052
7657.542955,1067.197627
513.9978477,1809.33497
319.1889605,334.0437583
1684.259339,6085.937909
509.1966073,27413.45921
496.2898235,3329.952184
269.2052959,3072.422989
175.5265144,3429.852399
2251.777101,2791.245722
693.1076354,1513.294941
1956.497912,3092.977414
50.86796636,8498.817353
1976.082494,17192.61593
269.7593829,18364.59589
364.4901697,861.4800616
941.1035216,1275.089031
186.2453862,2705.825528
360.2675752,4621.416063
1287.18543,15893.1887
221.617294,11743.79574
348.8782355,40491.32318
1494.221658,884.3301864
5077.155323,762.1342021
1198.426937,8958.053193
1720.679727,2544.872776
190.4546306,3322.223956
385.1094499,280.2806467
184.3517208,1262.183731
456.949565,2039.023583
444.1040424,1493.051552
3123.33499,1372.787121
8.334648266,1443.762733
213.6642788,5044.859905
433.0417521,4148.963368
537.7972167,761.2168628
1278.380272,664.4144687
361.733895,5492.292449
988.9661598,1458.339639
257.1070079,2128.333643
130.0571813,3640.884183
718.1010119,2320.900556
249.3672516,3164.255157
410.7887282,790.5805994
400.6360305,892.5601665
170.8532813,7389.777122
462.2965601,22069.1217
934.2678538,113.1376835
863.8233562,11712.89205
1679.185716,3385.634762
725.0319807,27293.50887
708.371362,1952.494075
750.6214153,3151.057762
4607.653992,2265.428623
1213.237458,12803.40493
704.2030482,2367.364132
405.8774987,376.6728181
472.3914532,3684.295938
268.7858918,9406.983359
6859.408718,4983.063522
1037.051045,4484.101977
825.7950146,1804.450929
860.4181017,1993.436476
1256.254315,3587.682493
330.8181363,9892.871003
230.6881336,8677.148128
247.2637526,3547.675753
147.5700455,1834.95988
1118.039015,3039.147661
338.4112031,411.4768514
1336.771591,1609.670705
1048.767582,11114.90859
2684.75467,7057.858038
531.7109823,2652.367436
2239.528322,1459.465618
1179.307666,3288.311949
993.975655,13276.16818
232.3529374,2539.645991
1482.451791,1191.400123
648.6072234,2400.438745
428.9778274,767.0900516
861.8915556,1248.625761
469.8767685,252.2967251
475.7445488,24348.59868
1123.987381,1095.432982
904.5916775,23774.5704
64.37550715,1898.571936
783.5774896,4611.408963
182.6276521,8748.899536
349.749981,345.0400836
1079.802917,3167.789671
738.9402801,1906.009059
49.68702883,13326.08872
466.1418626,3888.877138
686.3289448,970.9891384
357.3933993,12098.21532
1221.319584,2265.8881
410.0921171,1960.984589
176.2295489,923.4449594
2416.588367,7232.472057
3956.361572,2053.567275
1185.670016,180.3781002
688.681884,1451.779536
1271.653977,30466.79464
100.4801946,6178.654922
1611.064509,890.7662946
1096.895355,2053.429115
642.8580947,1958.056158
1998.911649,371.4462039
813.7593778,958.1876894
8464.220481,26060.63705
547.2605177,14482.77138
5190.278393,6329.347816
28.3324803,2618.067115
99.51453924,2159.416563
1954.982149,1630.951037
2119.442739,3333.671191
333.4965919,371.6170496
218.5703966,3512.850938
852.8843669,5237.299245
389.1367113,12991.47195
1175.481282,2756.037921
427.1950635,1608.711155
1608.55316,331.8760419
407.5916149,5880.443058
322.4922781,5444.550598
179.9408667,1619.473925
686.7775198,1404.130852
521.9823843,9792.78875
364.0812716,5354.5834
1144.495012,2102.550235
63.67083665,4037.085739
1093.527185,6043.42439
971.8286719,3057.625834
1012.60471,1523.073123
531.0511098,3302.509179
768.9055835,7495.664512
662.3766013,5742.486895
2876.033353,1572.962548
738.7303545,1921.346004
676.3556459,9888.597838
120.6546465,2505.934654
6637.849676,1805.139531
1391.207013,14503.89297
298.9377863,1222.154023
3384.211035,903.0243014
1050.851154,1526.557655
5405.247942,2430.911324
1028.469355,7291.275061
685.8643673,8740.617471
283.312334,1133.807872
616.2915489,3625.22395
862.066392,1932.291826
2260.868449,4573.488022
474.276384,4605.433551
111.4528601,667.9015405
394.0283554,1675.9388
731.3563084,2452.333403
592.6611613,2460.484567
231.9899597,52020.27037
1150.160216,1200.241442
53.35548181,982.9931623
842.0489828,3924.860438
712.5600955,1421.839818
2089.255741,2687.971093
986.9766778,1894.29713
677.9824591,1166.863396
1092.220032,11840.97257
1426.790887,4017.560463
1422.395321,2065.288138
371.6340143,2682.160351
841.5334981,8368.031836
385.1485913,4127.273422
153.8681889,13660.59767
1729.744488,1733.440958
764.1224659,7376.637622
2345.024314,74807.94437
569.9563969,175.3326996
177.1333405,2758.578982
2451.392403,1174.520626
103.1467222,1985.664334
700.7506015,1105.94944
182.3302428,439.5251703
1936.931334,6067.258798
187.4830302,5953.103669
309.6206349,34246.46312
680.5373352,8953.438633
450.7980654,5122.540468
1046.445877,2882.53115
704.9911634,1047.826795
663.4126782,4620.224011
217.4937594,1025.709742
827.9458173,1365.679195
1796.361596,22513.80604
996.9334804,2347.600783
488.9978562,10211.94497
1263.368042,2536.484405
594.8006369,2096.75353
1582.245593,1085.644632
1637.82529,482.7694608
213.9746803,4788.432772
642.4100397,3613.955099
349.3684328,36157.35568
2921.173406,2267.825866
216.8786439,12471.1992
2063.485402,2375.457618
717.6844158,1487.399383
369.6909985,7295.986932
557.615958,8984.593525
407.7963001,2378.483634
1045.149134,2267.073767
1305.921379,3376.308828
378.8644614,7195.338207
497.488976,5.371714008
765.3633084,5269.431702
4639.67228,5795.976036
852.2525236,2965.111547
1915.900455,1376.69725
547.0683402,15983.43913
1910.291675,4789.255578
79.96019081,1528.937612
625.4927649,4114.819645
282.9206,831.3651679
129.3010552,1017.35364
171.7320942,3302.549513
4051.234711,266.4305931
1465.108272,1289.483856
8.553051216,3551.46257
248.9528452,1133.399121
706.7884334,1783.915266
