pT (GeV) Signal,pT (GeV) Background)
876.708,59.4213
165.344,237.685
31.7375,66.1165
8.02692,58.1454
10.6819,0.307975
8.32937,0.511013
0.00332153,596
0.527558,0
0.0063647,32.0783
2.64372,60.1378
434.954,119.472
1382.14,42.6226
41.0489,41.3974
90.3305,62.0613
1828.24,80.8026
593.032,80.8026
65.0807,7.62948
198.183,30.9458
938.114,273.428
72.5357,116.591
60.6728,59.2859
113.152,32.0835
126.108,596.502
350.017,108.455
262.29,78.6349
581.639,116.366
2339.81,180.548
514.637,326.121
102.572,165.597
292.672,8.0713
2316.49,722.114
1709.92,1010.96
345.524,10.9122
298.807,18.4791
539.39,200.169
286.75,100.084
193.39,4.27052
250.766,0.630229
227.902,68.6177
216.783,102.927
136,28.6569
269.133,64.1302
817.053,17.8995
93.6321,35.799
39.3337,57.7822
122.289,53.1322
251.891,452.731
354.472,75.4552
171.022,124.004
53.0408,117.423
2715.52,37.4409
1367.11,141.642
19.6927,45.8073
4.22216,14.5509
125.755,104.176
68.0807,63.2584
67.4712,14.2082
420.588,3.70431
63.4856,10.8468
51.787,10.8468
11.4674,68.2334
3.50037,32.3278
296.654,60.9706
602.196,60.9706
113.539,152.315
40.9004,22.5315
592.167,80.0854
390.532,598.724
84.4637,80.7919
98.4905,40.2934
0.508869,75.1725
1.51809,526.207
341.922,63.3657
1663.47,32.3047
61.4353,72.2167
285.052,36.1084
875.619,132.946
36.515,23.7741
108.435,449.683
94.369,474.053
348.753,44.6023
1350.77,8.12475
77.2041,0.348039
278.236,0.0829042
2078.69,155.996
440.117,103.998
156.657,42.5824
155.586,23.6772
1103.4,14.0428
865.052,84.2568
98.9857,31.6808
93.0719,64.1621
530.851,612.887
709.991,525.332
163.826,29.3204
97.6527,44.0709
186.192,83.0663
439.199,101.793
55.6627,0.360497
221.817,33.4653
370.796,484.257
84.1115,215.225
151.05,37.6968
48.0152,15.3475
429.769,73.9191
1178.61,55.4393
266.712,24.384
340.718,150.215
0.0490341,466.489
0.255428,93.2979
291.631,71.8762
281.275,14.4154
66.2346,663.12
40.8438,165.78
1059.11,54.8646
360.908,37.4496
95.9088,9.3828
118.728,4.03797
453.422,160.105
247.777,960.628
38.7766,38.6027
191.614,17.543
980.517,54.383
124.697,27.1915
66.2635,78.4893
211.108,24.8737
688.477,72.4378
171.29,587.215
65.4297,34.4154
58.894,40.3798
414.152,493.446
928.801,140.984
307.026,37.9078
65.1809,55.0597
95.7912,81.4513
469.336,570.159
64.8253,43.6906
129.372,71.8102
1256.13,163.189
391.476,326.378
107.721,10.5072
102.373,8.41031
301.119,12.8263
135.036,3.20659
147.265,41.2101
75.5663,41.3738
95.1114,176.809
285.855,106.085
82.0106,68.1594
121.026,33.1243
404.122,178.731
1348.73,25.7959
91.5898,46.8069
117.351,9.04858
620.429,166.594
574.457,23.7992
119.447,45.5567
166.648,48.0574
408.337,282.487
183.468,0
212.999,8.69335
144.278,100.303
710.632,188.205
373.387,624.31
74.5262,82.0877
104.328,3.08861
385.134,283.004
1187.99,283.589
177.124,66.3954
136.561,54.1502
263.386,89.2933
82.6886,291.948
132.968,1.552
127.705,9.60149
320.565,19.8372
256.255,99.1861
32.5108,11.0468
90.9366,14.4878
1867.01,122.665
1033.77,212.956
163.367,3.0164
54.1872,16.2873
298.397,30.0042
2015.4,105.015
139.003,45.0486
112.669,37.8835
91.1472,9.93472
415.188,39.7389
86.5306,187.734
228.924,15.776
3792.79,1433.28
319.067,27.2414
160.007,94.7416
91.6746,43.1261
